datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
1/5/2014,14,11.67,21.3,185.95,41,0,32,7
1/12/2014,29.33,12.68,37.9,190.7,88,5,21,7.2
1/19/2014,30.67,26.34,45.9,218.4,80,8,29,12
1/26/2014,34,32.37,31.5,179.6,80,8,23,10
2/2/2014,31.02,23.35,20.7,159.88,84,12,29,12
2/9/2014,22.65,29.72,53.3,226.8,98,7,31,6
2/16/2014,33.33,30.69,47.3,320.7,89,14,18,16.2
2/23/2014,39.01,34.25,44.2,232.7,99,5,35,7
3/2/2014,36.68,28.75,40.355,222.5,52,2,16,10.1
3/9/2014,25.02,21.11,31.8,202.375,48,4,16,9.2
3/16/2014,32.35,23.77,36.2,164.8,90,5,36,19
3/23/2014,39.36,23.72,26.1,202.8,36,4,27,23.6
3/30/2014,25.69,17.33,36.2,136.6,42,6,29,24.5
4/6/2014,19.68,22.05,36.4,153.7,31,7,27,20
4/13/2014,36.03,20.38,21.2,141,46,4,22,20.3
4/20/2014,27.36,19.38,35.15,134.2,59,1,24,20
4/27/2014,26.36,20.215,22,182.5,54,4,16,13
5/4/2014,22.02,27.16,23.9,176.6,49,6,24,13.9
5/11/2014,24.67,32.485,29.6,151.6,69,11,15,36
5/18/2014,22.38,26.4,35.2,154,56,2,42,18.5
5/25/2014,25.02,22.278,33.7,115.7,56,5,20,36.6
6/1/2014,17.71,22.08,25.1,143.38,69,3,19,28.1
6/8/2014,23.34,23.06,33.9,154.425,64,8,19,27.5
6/15/2014,29.03,17.4,23.6,95.3,87,8,20,36.8
6/22/2014,31.68,20.73,26.1,106.7,66,5,11,24
6/29/2014,21.02,27.5,37.3,156.8,96,1,6,18
7/6/2014,27.35,24.74,30,135.8,64,3,8,10
7/13/2014,26.01,22.38,34.7,122.8,83,7,27,16.2
7/20/2014,33.67,20.76,20.5,96,84,6,12,14.4
7/27/2014,28.01,28.77,33.1,116.2,77,2,8,16
8/3/2014,20.02,7.71,23.2,95.1,80,9,11,16.5
