Player Name,1-Putts per Round,2-Putts per Round,3-Putt Avoidance,3-Putts per Round,Back 9 Scoring Average,Ball Striking,Birdie Average,Birdie or Better Conversion Percentage,Birdie to Bogey Ratio,Bogey Average,Bogey Avoidance,Bounce Back,Driving Accuracy Percentage,Driving Distance,Driving Pct. 240-260 (Measured),Driving Pct. 260-280 (Measured),Driving Pct. 280-300 (Measured),Driving Pct. 300+ (Measured),Driving Pct. 300-320 (Measured),Driving Pct. 320+ (Measured),Driving Pct. <= 240 (Measured),First Tee Early Scoring Average,First Tee Late Scoring Average,Front 9 Scoring Average,GIR Percentage from Fairway,GIR Percentage from Other than Fairway,Good Drive Percentage,Greens in Regulation Percentage,One-Putt Percentage,One-Putt Percentage - Round 1,Overall Putting Average,Par 3 Birdie or Better Leaders,Par 3 Performance,Par 3 Scoring Average,Par 4 Birdie or Better Leaders,Par 4 Performance,Par 4 Scoring Average,Par 5 Birdie or Better Leaders,Par 5 Performance,Par 5 Scoring Average,Par Breakers,Percentage of Available Purse Won,Percentage of potential money won,Putting Average,Putts Per Round,Reverse Bounce Back,Rounds in the 60's,Sand Save Percentage,Scoring Average (Actual),Scrambling,Scrambling Rough (RTP Score),Stroke Differential Field Average,Tenth Tee Early Scoring Average,Tenth Tee Late Scoring Average,Total Birdies,Total Driving,Total Eagles
Aaron Baddeley,27.055555555555557,35.611111111111114,58.705882352941174,7.066666666666666,105.44444444444444,165.75,17.72222222222222,50.22222222222222,21.88888888888889,10.055555555555555,61.666666666666664,8.666666666666666,67.55555555555556,1704.2777777777778,13.0,10.0,11.222222222222221,11.333333333333334,11.055555555555555,9.470588235294118,9.0,25.2,130.05555555555554,107.72222222222223,46.22222222222222,28.27777777777778,76.72222222222223,90.33333333333333,76.16666666666667,24.666666666666668,137.5,16.41176470588235,56.333333333333336,50.611111111111114,38.22222222222222,184.33333333333334,152.22222222222223,19.166666666666668,82.66666666666667,59.44444444444444,67.11111111111111,2.5,2.5,99.33333333333333,72.54166666666667,16.22222222222222,3.0,12.11111111111111,207.38888888888889,29.77777777777778,13.25,8.666666666666666,61.888888888888886,,22.25,156.29166666666666,5.181818181818182
Aaron Wise,17.476190476190474,24.666666666666668,39.476190476190474,5.476190476190476,74.04761904761905,92.35714285714286,13.095238095238095,38.523809523809526,16.0,6.857142857142857,42.80952380952381,6.0,43.57142857142857,1242.1904761904761,9.0,9.0,7.380952380952381,8.619047619047619,7.333333333333333,7.285714285714286,9.0,73.33333333333333,39.4,73.38095238095238,27.761904761904763,26.095238095238095,54.142857142857146,65.76190476190476,51.476190476190474,17.80952380952381,97.23809523809524,11.380952380952381,39.0,33.904761904761905,27.428571428571427,127.0,104.42857142857143,12.380952380952381,58.0,43.095238095238095,47.19047619047619,1.8571428571428572,1.8571428571428572,71.25,54.25,12.047619047619047,2.5714285714285716,4.714285714285714,143.42857142857142,15.095238095238095,6.857142857142857,6.0,30.133333333333333,25.666666666666668,16.642857142857142,143.96428571428572,5.5
Abraham Ancer,23.0,31.055555555555557,50.388888888888886,6.944444444444445,95.83333333333333,139.91666666666666,14.166666666666666,42.72222222222222,17.833333333333332,9.222222222222221,54.72222222222222,7.666666666666667,58.72222222222222,753.6111111111111,7.5,5.588235294117647,6.0,6.166666666666667,5.333333333333333,6.176470588235294,7.5,54.27777777777778,51.44444444444444,94.38888888888889,38.55555555555556,24.88888888888889,66.88888888888889,79.94444444444444,66.44444444444444,26.22222222222222,123.83333333333333,14.777777777777779,51.833333333333336,44.5,33.0,160.5,133.77777777777777,15.0,73.0,55.388888888888886,57.666666666666664,4.0,4.0,93.05263157894737,67.08333333333333,12.88888888888889,3.3,9.666666666666666,185.11111111111111,26.88888888888889,5.9,7.666666666666667,83.22222222222223,70.05555555555556,17.416666666666668,127.125,6.714285714285714
Adam Hadwin,27.055555555555557,40.611111111111114,59.5,6.611111111111111,111.5,36.416666666666664,21.944444444444443,63.55555555555556,23.61111111111111,8.277777777777779,63.77777777777778,9.333333333333334,74.33333333333333,1496.4444444444443,12.0,8.666666666666666,9.0,11.222222222222221,10.055555555555555,9.166666666666666,12.0,39.111111111111114,104.27777777777777,111.94444444444444,55.77777777777778,27.833333333333332,84.05555555555556,104.11111111111111,79.94444444444444,21.833333333333332,149.88888888888889,19.166666666666668,62.666666666666664,52.55555555555556,42.833333333333336,198.0,159.22222222222223,19.166666666666668,86.33333333333333,64.55555555555556,74.94444444444444,2.3333333333333335,2.3333333333333335,107.04761904761905,79.16666666666667,19.11111111111111,4.833333333333333,10.5,217.22222222222223,20.833333333333332,7.666666666666667,9.333333333333334,58.93333333333333,33.833333333333336,28.25,87.33333333333333,7.25
Adam Long,40.875,50.916666666666664,84.91666666666667,10.916666666666666,159.54166666666666,76.625,27.958333333333332,78.625,35.291666666666664,15.416666666666666,93.33333333333333,13.0,103.79166666666667,2123.625,17.0,12.695652173913043,13.875,14.958333333333334,13.708333333333334,12.583333333333334,17.0,97.41666666666667,112.375,157.91666666666666,75.875,37.541666666666664,116.375,137.83333333333334,114.54166666666667,33.583333333333336,207.125,23.75,86.0,77.75,62.416666666666664,282.5,228.5,24.791666666666668,114.0,84.875,102.29166666666667,3.25,3.25,155.29166666666666,106.34375,26.416666666666668,4.75,13.083333333333334,308.7916666666667,40.5,14.8125,13.0,62.23809523809524,57.375,35.4375,92.0,8.0
Adam Schenk,35.375,49.5,78.25,10.25,147.125,64.9375,23.166666666666668,71.0,26.583333333333332,12.041666666666666,83.29166666666667,12.0,91.41666666666667,2006.4583333333333,11.08695652173913,15.5,11.347826086956522,15.833333333333334,13.375,12.791666666666666,15.5,98.08333333333333,81.14285714285714,146.45833333333334,62.291666666666664,41.416666666666664,105.20833333333333,128.45833333333334,103.375,37.208333333333336,193.125,22.458333333333332,79.5,68.25,53.25,259.0,213.58333333333334,23.583333333333332,107.25,79.75,91.29166666666667,4.285714285714286,4.285714285714286,150.25,100.40625,19.708333333333332,5.125,13.625,285.5833333333333,37.541666666666664,13.5,12.0,95.33333333333333,44.916666666666664,28.75,87.46875,9.0
Adam Scott,31.11111111111111,35.72222222222222,59.888888888888886,7.0,110.5,156.25,19.5,55.05555555555556,24.22222222222222,9.444444444444445,65.77777777777777,9.333333333333334,69.27777777777777,1500.1666666666667,12.0,9.352941176470589,8.764705882352942,11.444444444444445,9.61111111111111,9.833333333333334,8.333333333333334,29.88888888888889,126.83333333333333,116.66666666666667,46.22222222222222,33.333333333333336,80.33333333333333,97.61111111111111,84.0,23.666666666666668,145.33333333333334,18.333333333333332,62.666666666666664,53.333333333333336,42.388888888888886,198.0,163.72222222222223,19.055555555555557,86.33333333333333,63.0,73.55555555555556,2.3333333333333335,2.3333333333333335,111.66666666666667,75.83333333333333,22.285714285714285,4.0,12.166666666666666,220.94444444444446,31.61111111111111,11.666666666666666,9.333333333333334,66.72222222222223,27.666666666666668,24.583333333333332,146.16666666666666,6.416666666666667
Adam Svensson,7.0,7.333333333333333,13.0,1.6666666666666667,24.666666666666668,183.25,4.0,11.333333333333334,5.0,2.3333333333333335,14.333333333333334,2.0,14.666666666666666,374.0,2.3333333333333335,3.0,3.0,3.0,3.0,3.0,3.0,25.0,,25.333333333333332,10.0,6.666666666666667,16.333333333333332,20.666666666666668,18.333333333333332,9.666666666666666,31.333333333333332,4.666666666666667,13.0,10.666666666666666,8.0,41.0,34.333333333333336,4.0,21.0,16.333333333333332,15.333333333333334,,,22.333333333333332,21.75,5.0,,2.6666666666666665,48.666666666666664,7.333333333333333,2.5,2.0,,24.333333333333332,5.0,203.25,2.0
Akshay Bhatia,16.761904761904763,20.142857142857142,33.38095238095238,4.238095238095238,64.66666666666667,168.71428571428572,8.952380952380953,26.476190476190474,12.857142857142858,7.428571428571429,38.19047619047619,5.142857142857143,37.38095238095238,1093.3809523809523,7.714285714285714,5.7,5.714285714285714,7.714285714285714,5.761904761904762,7.095238095238095,7.714285714285714,43.61904761904762,25.88888888888889,66.0,22.523809523809526,19.61904761904762,43.904761904761905,51.80952380952381,45.904761904761905,23.19047619047619,81.76190476190476,10.2,33.42857142857143,28.857142857142858,22.666666666666668,108.28571428571429,90.52380952380952,9.142857142857142,50.42857142857143,40.42857142857143,38.095238095238095,,,54.714285714285715,46.214285714285715,8.047619047619047,,5.333333333333333,127.23809523809524,19.904761904761905,9.428571428571429,5.142857142857143,27.555555555555557,42.76190476190476,10.857142857142858,122.78571428571429,5.142857142857143
Alex Cejka,18.416666666666668,27.166666666666668,44.43478260869565,6.380952380952381,81.70833333333333,151.3125,9.625,32.208333333333336,13.25,8.458333333333334,46.958333333333336,6.5,51.916666666666664,1278.375,9.75,8.130434782608695,8.75,7.291666666666667,7.173913043478261,6.916666666666667,9.75,76.04761904761905,30.375,82.29166666666667,35.166666666666664,18.875,58.333333333333336,66.58333333333333,55.25,22.166666666666668,105.16666666666667,12.391304347826088,42.25,37.833333333333336,27.083333333333332,142.25,119.95833333333333,11.833333333333334,57.0,43.041666666666664,46.458333333333336,2.7142857142857144,2.7142857142857144,93.53571428571429,57.875,10.294117647058824,1.9285714285714286,6.608695652173913,159.66666666666666,24.666666666666668,9.375,6.5,43.833333333333336,28.857142857142858,11.1875,119.5625,6.5
Alex Noren,12.333333333333334,16.333333333333332,25.666666666666668,3.0,47.666666666666664,101.0,9.0,24.333333333333332,9.666666666666666,3.6666666666666665,27.333333333333332,4.0,30.333333333333332,835.6666666666666,4.333333333333333,6.0,4.333333333333333,6.0,4.666666666666667,5.333333333333333,6.0,24.0,47.666666666666664,48.0,20.0,14.666666666666666,35.333333333333336,42.333333333333336,35.0,9.666666666666666,63.333333333333336,8.333333333333334,26.0,21.666666666666668,17.666666666666668,90.0,74.33333333333333,8.333333333333334,32.0,22.333333333333332,31.666666666666668,1.0,1.0,48.333333333333336,37.0,8.333333333333334,2.5,3.6666666666666665,93.0,13.666666666666666,5.5,4.0,24.0,,11.5,127.25,4.0
Alex Prugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders Albertson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea Pavan,12.333333333333334,16.666666666666668,25.666666666666668,3.0,51.333333333333336,,7.666666666666667,23.666666666666668,10.0,4.333333333333333,29.0,4.0,31.0,,,,,,,,,26.666666666666668,25.333333333333332,50.333333333333336,22.0,12.333333333333334,34.333333333333336,42.666666666666664,35.0,9.0,64.0,7.333333333333333,26.0,22.666666666666668,16.666666666666668,82.0,68.0,9.0,42.0,33.666666666666664,30.333333333333332,1.0,1.0,49.0,37.75,6.666666666666667,,4.0,99.0,11.333333333333334,,4.0,49.666666666666664,,9.5,,4.0
