datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06
2014-01-31,127.69000000000001,99.09000000000005,152.09999999999997,878.0300000000002,354.0,50.0,112.0,48.2
2014-02-28,133.32,126.0500000000001,176.99999999999997,1001.9000000000001,347.0,31.0,122.0,36.2
2014-03-31,137.44000000000005,92.95000000000007,147.655,779.275,232.0,20.0,112.0,85.4
2014-04-30,113.10000000000004,89.47500000000008,130.89999999999998,698.5,209.0,18.0,97.0,73.7
2014-05-31,101.79000000000005,119.93300000000009,132.1,628.7800000000001,270.0,23.0,107.0,123.69999999999999
2014-06-30,112.07000000000002,94.71000000000006,122.9,548.225,323.0,23.0,57.0,109.3
2014-07-31,117.06000000000002,95.01000000000012,129.3,491.9,348.0,21.0,61.0,69.1
2014-08-31,134.79000000000005,99.7800000000001,123.8,583.8499999999999,420.0,29.0,37.0,70.80000000000001
2014-09-30,108.78000000000003,109.0940000000001,122.09999999999998,887.8199999999999,399.0,14.0,115.0,58.8
2014-10-31,154.75000000000003,185.2410000000001,191.59999999999997,1856.8149999999994,472.0,30.0,182.0,74.5
2014-11-30,138.08000000000004,100.86000000000004,142.7,723.8,489.0,19.0,112.0,45.2
2014-12-31,131.90000000000003,121.40100000000004,111.12400000000001,1015.6600000000001,492.0,25.0,163.0,33.4
2015-01-31,135.91000000000003,130.34900000000005,141.0,1044.2400000000002,463.0,24.0,177.25,42.0
2015-02-28,115.71,123.73999999999997,131.83,953.252,243.0,9.0,208.0,47.0
2015-03-31,156.04000000000005,129.38599999999997,133.8,1084.8500000000001,208.0,13.0,195.0,54.0
2015-04-30,154.5,101.115,122.10000000000001,940.1700000000001,192.0,5.0,97.0,112.0
2015-05-31,160.02,119.11700000000006,136.04,765.9000000000001,194.0,10.0,100.0,159.5
2015-06-30,151.87000000000003,113.69,145.46,746.788,217.0,12.0,193.0,125.79999999999998
2015-07-31,175.61000000000004,113.81000000000002,125.5,708.8280000000001,203.0,6.0,60.0,130.3
2015-08-31,181.69000000000003,144.51900000000003,133.4,790.788,265.5,15.0,45.0,83.7
2015-09-30,166.22000000000008,134.12200000000004,110.4,852.125,243.5,11.0,91.0,71.0
2015-10-31,195.81000000000014,127.23099999999998,146.20000000000002,1574.3350000000007,222.0,8.0,184.0,72.0
2015-11-30,152.78000000000006,128.233,145.90000000000003,1277.725,228.0,18.0,195.0,44.0
2015-12-31,159.46000000000004,131.29100000000003,136.99999999999997,1258.3490000000002,286.0,28.0,231.0,41.73
2016-01-31,171.65000000000006,128.402,172.49999999999997,1476.3240000000003,248.0,24.0,174.0,56.5
2016-02-29,173.81000000000003,137.528,134.20000000000002,1224.8620000000003,239.0,20.0,245.0,58.0
2016-03-31,156.64000000000004,180.5890000000001,148.4,1150.7000000000003,250.0,13.0,253.0,97.84
2016-04-30,166.6100000000001,146.52600000000007,147.7,998.3370000000003,318.0,18.0,216.0,162.39999999999998
2016-05-31,167.36000000000007,120.86099999999996,130.54999999999995,997.1500000000003,275.0,18.0,131.0,137.10000000000002
2016-06-30,169.67000000000002,114.961,117.75,760.05,311.0,20.0,127.0,134.8
2016-07-31,203.97000000000017,141.01900000000003,137.89999999999998,652.3619999999999,240.0,8.0,109.0,116.83
